Respondent_Serial,SM_GPID,Pre_Post,yyyymmdd,WEEK,SEX,AGEBANDS,Region,Region2,SEG,Brand_pref,Brand_loyal,Brand_dif,TOM_01,TotalUnaided_01,Familiarity_01,Aided_01,Tried_01,MostOften_01,BoughtLast_01,Consideration_01,Consideration_TopBox_01,Consideration_T2B_01,KPIA_01,KPIB_01,KPIC_01,KPID_01,KPIE_01,KPIF_01,KPIH_01,KPII_01,KPIJ_01,COMAW_01,Emotional_01,Uniqueness_01,Rational_01,Leadership_01,Premiumness_01,Cost_01,VarietyFamiliarity_01,VarietyPI_01,VarietyPerception_01,MC1,MC2,MC2P,MC2B,MC2N,WOM1,WOM2,WOM2P,WOM2B,WOM2N,EX1,EX2,EX2P,EX2B,EX2N,COOKIES_FREQ,feddistr,Regular_Buyers_Brand1,MostOften_BBW,Regular_BBW,Trial_BBW,Prompted_BBW,Consideration_Top1_BBW,BB_regular_buyers,Noodle_frequent_buyers,Noodle_Eaters,tv_fr,onl_fr,tv_onl,bloger,ex2pbp,wom2pbp,mc2pbp,wave,wave1
100008,514226cb-13e3-4185-90ac-b88ea6f73c8b,1,20230620,202325,1,2,3,2,6,2,0,4,0,0,5,1,1,0,0,3,0,1,0,0,0,0,0,1,1,0,0,1,9,9,8,9,8,2,5,5,4,0,0,0,0,0,1,4,1,0,0,1,4,1,0,0,0,4,1,0,1,1,1,1,1,1,1,3,0,0,0,1,1,0,1,1
100009,3b825e32-315e-475a-a48c-a0cfd4d01db2,1,20230620,202325,2,2,3,2,4,2,0,3,0,1,6,1,1,1,1,4,1,1,1,1,0,1,0,1,1,1,1,0,10,11,11,10,8,2,6,5,4,0,0,0,0,0,1,4,1,0,0,1,4,1,0,0,0,4,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1
100011,cd4069b9-a961-4c2d-bc0e-e922db4507f1,1,20230620,202325,1,2,3,2,4,2,0,2,0,1,6,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,2,4,4,4,-1,0,0,0,0,1,3,0,1,0,1,4,1,0,0,0,4,1,0,0,1,1,0,1,1,1,30,0,0,0,1,1,0,1,1
100012,d98fd1ae-b370-417b-ad5b-3bce01c34095,1,20230620,202325,2,2,3,2,6,2,0,4,0,1,6,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,0,11,11,11,11,8,2,1,0,0,0,0,0,0,0,1,4,1,0,0,1,4,1,0,0,0,4,1,0,0,0,0,0,1,1,1,20,0,0,0,1,1,0,1,1
100013,08a7ac20-861e-45ab-9de6-a24459540e5b,1,20230620,202325,2,2,3,2,4,3,0,3,0,1,6,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,0,10,8,11,8,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,7,1,0,0,0,0,0,1,1,1,10,0,0,0,1,0,0,1,1
100015,97167e6f-f8f7-4217-b6ea-80ebe47baeb2,1,20230620,202325,2,2,3,2,4,2,0,3,0,0,6,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,0,10,10,10,10,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,4,1,0,0,0,1,0,1,1,1,6,0,0,0,1,0,0,1,1
100018,c4692397-f6a1-41f5-9520-fb441bbb8ad7,1,20230620,202325,1,2,2,1,5,2,0,3,0,1,6,1,1,1,1,4,1,1,1,1,1,1,0,1,0,1,1,0,10,10,11,11,11,2,5,5,4,0,0,0,0,0,1,4,1,0,0,1,4,1,0,0,0,2,1,0,1,1,1,1,1,1,1,8,0,0,0,1,1,0,1,1
100020,a8f0e955-5cb2-4e39-9e70-07c11bb4a7f1,1,20230620,202325,1,2,3,2,2,1,2,3,0,1,5,1,1,0,0,2,0,0,1,1,0,1,1,1,0,0,1,1,9,9,9,11,4,2,3,0,0,1,4,1,0,0,1,4,1,0,0,1,4,1,0,0,0,6,1,0,0,0,1,0,1,1,1,25,0,0,0,1,1,1,1,1
100021,d6eb2553-b3bd-4aab-8a49-5e64eb9cc2fc,1,20230620,202325,2,2,3,2,4,2,0,3,0,1,5,1,1,0,0,3,0,1,1,1,0,0,1,1,1,1,1,1,10,10,10,10,10,2,2,0,0,1,4,1,0,0,1,4,1,0,0,1,4,1,0,0,0,6,1,0,0,0,1,0,1,1,1,2,0,0,0,1,1,1,1,1
100023,56add6d7-30e2-405f-bdb8-7400b9f2da58,1,20230620,202325,1,2,1,1,5,1,2,4,0,0,5,1,1,0,1,3,0,1,0,0,0,0,0,0,0,1,0,1,10,5,7,6,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,9,0,0,0,0,0,0,1,1
100024,5a437d89-a608-43ee-bf50-ffe769ab3406,1,20230620,202325,1,1,3,2,4,2,0,2,0,0,5,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,10,9,9,9,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,8,1,0,0,0,1,0,1,1,2,2,0,0,0,1,0,0,1,1
100027,94161cee-8e51-4725-bc17-6c4247255e0a,1,20230620,202325,2,2,3,2,4,2,0,3,0,1,5,1,1,0,0,4,1,1,0,1,1,1,0,0,1,1,0,0,8,8,9,6,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,4,1,0,0,0,1,0,1,2,1,0,0,0,0,1,0,0,1,1
100029,a096e478-b785-4938-9b53-577076aa9f60,1,20230620,202325,2,2,3,2,5,2,0,3,0,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,2,1,1,4,0,0,0,0,0,0,1,1
100030,f99927a3-00ab-41bb-a190-8cdd18d7caae,1,20230620,202325,2,2,1,1,4,2,0,3,0,0,3,1,0,0,0,2,0,0,1,1,0,1,0,1,0,1,0,0,9,10,10,10,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,0,1,1
100031,9a5f922b-800a-4f7c-a2d4-0ea804a5f913,1,20230620,202325,2,2,3,2,3,3,0,3,0,0,4,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,6,1,10,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,9,0,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,1,1
100032,481ee880-ab78-4f58-b49a-b31aad7d2fd0,1,20230620,202325,1,2,3,2,5,3,0,2,0,1,5,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,6,7,1,4,3,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
100036,68c9ef9a-bba6-4ce2-b57d-92007afa2c26,1,20230620,202325,1,2,3,2,5,2,0,3,0,0,4,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,10,9,10,10,9,2,4,4,4,0,0,0,0,0,-1,0,0,0,0,1,4,1,0,0,0,6,0,0,0,1,1,0,2,1,1,7,0,0,0,1,0,0,1,1
100038,d13b8755-20bb-4516-a23d-549e94f8d299,1,20230620,202325,2,2,2,1,5,2,0,4,0,0,3,1,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,6,6,6,6,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1
100039,bc72bff5-8be9-4e72-9127-f4ebfa2d3a3e,1,20230620,202325,2,2,3,2,4,1,2,3,0,1,5,1,1,0,0,3,0,1,1,0,0,0,1,1,0,0,0,0,9,9,10,7,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,4,1,0,0,0,1,0,1,2,1,5,0,0,0,1,0,0,1,1
100041,98dac435-d6f9-4864-b7ad-fd4cc1ac5713,1,20230620,202325,1,2,3,2,3,3,0,2,0,1,5,1,1,0,0,4,1,1,1,1,0,1,0,1,1,1,1,1,9,8,9,6,10,1,6,3,2,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,9,1,1,1,1,1,0,1,2,2,5,0,0,0,1,0,0,1,1
100042,7f2bbe7d-1a79-44fb-bd2e-ce59539dc222,1,20230620,202325,1,2,3,2,3,3,0,4,0,0,6,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,0,11,11,11,11,11,2,6,4,4,-1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,8,1,1,1,1,1,0,1,2,2,15,0,0,0,1,0,0,1,1
100045,ac8835cb-fec8-4445-88af-a7f7b7006a3e,1,20230620,202325,1,2,3,2,5,2,0,3,0,0,5,1,1,0,1,3,0,1,1,0,0,0,1,0,0,0,0,0,11,11,11,11,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,8,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1
100046,0a468879-be69-4b4c-aace-becdbfa76a81,1,20230620,202325,2,2,2,1,4,1,1,3,0,0,5,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,6,7,9,11,11,1,4,4,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,2,1,0,0,1,1,0,1,2,2,7,0,0,0,1,0,0,1,1
100048,1c817ff6-edd1-45d0-b1a4-00f38b10cb07,1,20230620,202325,2,1,3,2,3,1,1,4,0,0,6,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,3,6,4,1,2,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,1,1
100050,08152b0e-4fd9-4c1c-bc2b-c479d753f5e1,1,20230620,202325,2,2,3,2,5,1,1,4,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,8,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,9,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,1,1
100051,c70d331f-7a42-4e60-9931-640a59bb1064,1,20230620,202325,2,2,3,2,4,2,0,3,1,1,6,1,1,1,0,4,1,1,1,1,1,1,0,1,1,1,1,0,11,11,9,10,10,2,5,4,2,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,4,1,0,1,1,1,0,1,1,1,18,1,19,0,1,0,0,1,1
100053,3c203fe0-7570-4177-8b46-c4829276f13e,1,20230620,202325,2,1,3,2,3,2,0,3,0,0,5,1,1,0,0,3,0,1,1,1,1,1,0,1,1,1,0,0,10,10,11,10,11,1,4,4,4,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,4,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1
100054,518e8f69-4f40-4429-bf6a-18e955c20287,1,20230620,202325,2,2,3,2,4,3,0,3,0,1,5,1,1,0,0,3,0,1,1,1,1,0,0,1,0,1,0,0,9,10,11,10,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,9,1,0,0,0,0,0,1,2,2,4,0,0,0,0,0,0,1,1
100056,097a717a-13c7-4516-8a78-179c79bfe57e,1,20230620,202325,1,2,1,1,6,2,0,4,0,1,5,1,1,0,0,2,0,0,0,1,1,0,0,1,0,1,1,0,8,8,7,6,9,1,4,4,4,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1
100059,39a045f3-ddc7-4b56-8424-83322b48f893,1,20230620,202325,2,2,1,1,5,2,0,3,0,0,6,1,1,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,6,2,6,5,4,1,4,1,0,0,1,4,1,0,0,1,4,1,0,0,0,1,1,1,1,1,1,1,1,1,1,23,0,0,0,1,1,1,1,1
100060,ac21c89a-3668-49b0-a965-179a0f0f60a3,1,20230620,202325,2,1,1,1,5,1,2,3,0,1,6,1,1,1,1,4,1,1,1,1,1,1,0,1,1,1,0,0,10,10,11,11,11,2,6,5,4,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,1,1,1,1,1,1,1,1,1,7,0,0,0,1,0,0,1,1
100061,474c9696-c56a-4abe-b245-d73fa7ddfe90,1,20230620,202325,1,2,3,2,4,2,0,3,0,0,6,1,1,1,0,4,1,1,1,1,1,0,1,1,1,1,1,0,11,10,11,11,11,2,1,0,0,-1,0,0,0,0,-1,0,0,0,0,1,4,1,0,0,0,8,1,0,0,0,0,0,1,2,1,38,0,0,0,1,0,0,1,1
100063,d8fbc4e3-8795-4a25-a845-64cb9c702159,1,20230620,202325,2,2,3,2,3,2,0,4,0,0,3,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,9,8,10,9,11,2,1,0,0,-1,0,0,0,0,-1,0,0,0,0,1,4,1,0,0,0,4,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,0,1,1
100065,207897cc-5f36-4aca-be74-9ce1037ce4f5,1,20230620,202325,2,1,3,2,6,1,2,3,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,4,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,1
100068,5a94dff9-718b-4fe1-86f4-1ca2072f8aae,1,20230620,202325,2,1,1,1,6,2,0,3,0,0,2,1,0,0,0,2,0,0,0,1,1,0,1,1,0,1,0,1,8,5,4,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,1,0,2,1,2,13,0,0,0,1,0,0,1,1
100069,523be326-f0b2-4319-93f0-526d040fa4f5,1,20230620,202325,2,2,1,1,5,2,0,3,0,0,5,1,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,10,1,8,9,8,2,5,4,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,1,1,0,1,1,2,20,0,0,0,0,0,0,1,1
100072,1e6c0020-9b5b-458b-b60d-4eb8fbe19492,1,20230620,202325,2,2,3,2,5,3,0,3,0,0,6,1,1,1,1,4,1,1,1,1,0,0,0,1,1,1,1,1,11,1,11,9,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,8,1,0,0,0,0,0,1,2,1,8,0,0,0,1,0,0,1,1
100075,500d96d1-7f20-4c83-8b4a-2c675206b8cf,1,20230620,202325,2,2,3,2,3,1,1,2,0,1,6,1,1,1,1,4,1,1,1,1,1,1,1,1,0,1,1,1,10,10,11,10,8,1,5,5,4,1,4,1,0,0,1,4,1,0,0,1,4,1,0,0,0,9,1,0,1,1,1,1,1,2,2,21,0,0,0,1,1,1,1,1
100076,f0da58b6-1d3a-4c50-a339-1d07687437f7,1,20230620,202325,1,2,3,2,6,2,0,4,1,1,5,1,1,0,0,3,0,1,1,1,1,1,1,1,1,1,1,1,10,10,9,9,9,2,5,5,4,1,4,1,0,0,1,4,1,0,0,1,4,1,0,0,0,4,1,0,1,1,1,1,1,1,1,8,0,0,0,1,1,1,1,1
100077,dfc669a7-3f8d-46bb-92eb-e4b1bc7907fc,1,20230620,202325,2,2,3,2,5,2,0,4,0,0,4,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,9,7,9,8,10,1,2,0,0,1,2,0,0,0,1,4,1,0,0,1,4,1,0,0,0,4,0,0,0,0,1,0,2,2,1,58,0,0,0,1,1,0,1,1
